medcodeid,term
73466011,non-insulin dependent diabetes mellitus
197761014,type 2 diabetes mellitus
292576013,type ii diabetes mellitus with multiple complications
292577016,type 2 diabetes mellitus with multiple complications
292579018,type 2 diabetes mellitus with ulcer
292581016,type ii diabetes mellitus with ulcer
292582011,type ii diabetes mellitus with gangrene
292583018,type 2 diabetes mellitus with gangrene
292589019,type ii diabetes mellitus - poor control
292590011,type ii diabetes mellitus poorly controlled
457329019,type 2 diabetes mellitus without complication
457330012,type ii diabetes mellitus without complication
459167016,type 2 diabetes mellitus with hypoglycaemic coma
459169018,hypoglycaemic coma co-occurrent and due to diabetes mellitus type ii
459306016,type ii diabetes mellitus with peripheral angiopathy
459308015,type 2 diabetes mellitus with peripheral angiopathy
459309011,non-insulin dependent diabetes mellitus with arthropathy
459310018,type 2 diabetes mellitus with arthropathy
459311019,type ii diabetes mellitus with arthropathy
459312014,type ii diabetes mellitus with neuropathic arthropathy
459313016,type 2 diabetes mellitus with neuropathic arthropathy
493773010,niddm - non-insulin dependent diabetes mellitus
493774016,type ii diabetes mellitus
1223147012,insulin treated type ii diabetes mellitus
1223148019,insulin treated non-insulin dependent diabetes mellitus
1488898011,hyperosmolar non-ketotic state in type 2 diabetes mellitus
2773645012,family history of diabetes mellitus type 2
84471000006119,type 2 diabetes mellitus
84481000006116,type 2 diabetes mellitus - poor control
84491000006118,type 2 diabetes mellitus with arthropathy
84501000006114,type 2 diabetes mellitus with diabetic cataract
84511000006112,type 2 diabetes mellitus with gangrene
84521000006116,type 2 diabetes mellitus with hypoglycaemic coma
84531000006118,type 2 diabetes mellitus with mononeuropathy
84541000006111,type 2 diabetes mellitus with multiple complications
84551000006113,type 2 diabetes mellitus with nephropathy
84561000006110,type 2 diabetes mellitus with neurological complications
84571000006115,type 2 diabetes mellitus with neuropathic arthropathy
84581000006117,type 2 diabetes mellitus with ophthalmic complications
84591000006119,type 2 diabetes mellitus with peripheral angiopathy
84601000006110,type 2 diabetes mellitus with polyneuropathy
84611000006113,type 2 diabetes mellitus with renal complications
84621000006117,type 2 diabetes mellitus with retinopathy
84631000006119,type 2 diabetes mellitus with ulcer
84641000006112,type 2 diabetes mellitus without complication
84841000006113,type ii diabetes mellitus
84851000006110,type ii diabetes mellitus - poor control
84861000006112,type ii diabetes mellitus with arthropathy
84871000006117,cataract due to diabetes mellitus type 2
84881000006119,type ii diabetes mellitus with gangrene
84891000006116,type ii diabetes mellitus with hypoglycaemic coma
84901000006117,mononeuropathy with type 2 diabetes mellitus
84911000006119,type ii diabetes mellitus with multiple complications
