,,,,Monthly proportion of statin users for secondary prevention (figure 1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Overall,,,,,,Age group,,,,,,,Gender,,,,,,,Ethnicity,,,,,,,,Deprivation,,,,,,CVD subtype,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,prop_dates,total_users,total_population,proportion,,NA,prop_dates,age_group,total_users,total_population,proportion,,NA,prop_dates,gender,total_users,total_population,proportion,,NA,prop_dates,Ethnicity,total_users,total_population,proportion,,NA,prop_dates,Deprivation,total_users,total_population,proportion,,NA,prop_dates,CVD,total_users,total_population,proportion
1,31/05/2009,119813,177859,67.36403556,,1,31/05/2009,40-49,3428,7800,43.94871795,,1,30/11/2021,Men,76951,101341,75.93274193,,1,30/11/2021,White,107467,149621,71.8261474,,1,30/11/2021,2,25601,36001,71.11191356,,1,30/11/2021,Stroke,19703,28685,68.68746732
2,30/06/2009,120292,177941,67.60218275,,2,31/05/2009,50-59,13253,20720,63.96235521,,2,31/10/2021,Men,76993,101662,75.734296,,2,31/10/2021,White,107564,150250,71.59001664,,2,31/10/2021,2,25637,36112,70.99302171,,2,31/10/2021,Stroke,19723,28760,68.57788595
3,31/07/2009,120825,178055,67.85824605,,3,31/05/2009,70+,71450,104923,68.09755726,,3,30/09/2021,Men,77329,102030,75.79045379,,3,30/09/2021,White,108161,150975,71.64166253,,3,30/09/2021,2,25692,36194,70.98414102,,3,30/09/2021,Stroke,19771,28871,68.48048214
4,31/08/2009,120531,178049,67.69540969,,4,31/05/2009,60-69,31267,42647,73.31582526,,4,31/08/2021,Men,76802,102244,75.11638825,,4,31/08/2021,White,107689,151403,71.12738849,,4,31/08/2021,2,25506,36289,70.28576153,,4,31/08/2021,Stroke,19666,28929,67.98022745
5,30/09/2009,121086,178135,67.97428916,,5,31/05/2009,25-39,415,1769,23.45958168,,5,31/07/2021,Men,77258,102427,75.42737755,,5,31/07/2021,White,108214,151788,71.29285583,,5,31/07/2021,2,25665,36358,70.5896914,,5,31/07/2021,Stroke,19692,28926,68.07716241
6,31/10/2009,121119,178260,67.94513632,,6,30/06/2009,40-49,3468,7785,44.54720617,,6,30/06/2021,Men,77375,102425,75.5430803,,6,30/06/2021,White,108516,151954,71.41371731,,6,30/06/2021,2,25751,36418,70.70953924,,6,30/06/2021,Stroke,19741,28904,68.2985054
7,30/11/2009,121084,178355,67.88932186,,7,30/06/2009,50-59,13297,20725,64.15922799,,7,31/05/2021,Men,76997,102531,75.09631233,,7,31/05/2021,White,108031,152161,70.99782467,,7,31/05/2021,2,25627,36488,70.23404955,,7,31/05/2021,Stroke,19596,28880,67.8531856
8,31/12/2009,120858,178184,67.82763885,,8,30/06/2009,70+,71787,105019,68.35620221,,8,30/04/2021,Men,77504,102705,75.46273307,,8,30/04/2021,White,108717,152471,71.3033954,,8,30/04/2021,2,25754,36550,70.4623803,,8,30/04/2021,Stroke,19683,28891,68.12848292
9,31/01/2010,120217,178097,67.50085627,,9,30/06/2009,60-69,31335,42653,73.46493799,,9,31/03/2021,Men,77904,103036,75.60852518,,9,31/03/2021,White,109277,153060,71.39487783,,9,31/03/2021,2,25841,36668,70.47289189,,9,31/03/2021,Stroke,19711,28918,68.1616986
10,28/02/2010,120617,178121,67.71632766,,10,30/06/2009,25-39,405,1759,23.02444571,,10,28/02/2021,Men,77607,102857,75.45135479,,10,28/02/2021,White,109042,152922,71.30563294,,10,28/02/2021,2,25812,36620,70.48607318,,10,28/02/2021,Stroke,19620,28832,68.04938957
11,31/03/2010,121571,178060,68.27530046,,11,31/07/2009,40-49,3475,7749,44.84449606,,11,31/01/2021,Men,77624,103041,75.33311983,,11,31/01/2021,White,109023,153223,71.15315586,,11,31/01/2021,2,25811,36713,70.30479667,,11,31/01/2021,Stroke,19679,28885,68.12878657
